Player,Game,Team,Hero,Stat,Role,Best Attribute,Actual Result
1,1,1,95,1,0,0,1
2,1,1,28,1,1,1,1
3,1,1,26,0,2,0,1
4,1,1,30,0,3,2,1
5,1,2,95,1,0,0,0
6,1,2,47,0,3,1,0
7,1,2,20,1,5,0,0
8,1,2,9,0,1,1,0
9,2,3,75,0,0,0,1
10,2,3,42,0,5,2,1
11,2,3,28,1,1,1,1
12,2,3,30,0,3,2,1
13,2,4,90,1,0,0,0
14,2,4,25,0,3,0,0
15,2,4,34,0,5,2,0
16,2,4,31,0,1,1,0
17,3,5,50,0,3,1,0
18,3,5,28,1,1,1,0
19,3,5,5,1,2,0,0
20,3,5,95,1,0,0,0
21,3,6,75,0,0,0,1
22,3,6,36,1,1,1,1
23,3,6,14,1,2,0,1
24,3,6,76,1,5,2,1
25,4,7,31,0,1,1,1
26,4,7,50,0,3,1,1
27,4,7,75,0,0,0,1
28,4,7,35,1,2,0,1
29,4,8,44,0,1,1,0
30,4,8,35,1,2,0,0
31,4,8,25,0,3,2,0
32,4,8,65,1,5,0,0
33,5,9,62,0,0,0,1
34,5,9,26,0,2,0,1
35,5,9,52,0,1,1,1
36,5,9,76,1,5,2,1
37,5,10,31,0,1,1,0
38,5,10,17,1,3,2,0
39,5,10,95,1,0,0,0
40,5,10,15,1,5,2,0
41,6,11,75,0,0,0,1
42,6,11,5,1,2,0,1
43,6,11,93,0,3,1,1
44,6,11,2,0,5,0,1
45,6,12,95,1,0,0,0
46,6,12,14,1,2,0,0
47,6,12,47,0,3,1,0
48,6,12,42,0,5,2,0
49,7,13,28,1,1,1,1
50,7,13,11,1,5,1,1
51,7,13,18,0,3,2,1
52,7,13,54,0,2,0,1
53,7,14,95,1,0,0,0
54,7,14,36,1,1,1,0
55,7,14,47,0,3,1,0
56,7,14,34,0,5,2,0
57,8,15,5,1,2,0,1
58,8,15,30,0,3,2,1
59,8,15,92,1,0,0,1
60,8,15,52,0,1,1,1
61,8,16,20,1,5,0,0
62,8,16,47,0,3,1,0
63,8,16,95,1,0,0,0
64,8,16,54,0,2,0,0
65,9,17,92,1,0,0,1
66,9,17,52,0,1,1,1
67,9,17,84,1,3,2,1
68,9,17,93,0,3,1,1
69,9,18,28,1,1,1,0
