Player,Team,Stat,Role,Best Attribute,Actual Result
1,1,1,0,0,1
2,1,1,1,1,1
3,1,0,2,0,1
4,1,0,3,2,1
5,2,1,0,0,0
6,2,0,3,1,0
7,2,1,5,0,0
8,2,0,1,1,0
9,3,0,0,0,1
10,3,0,5,2,1
11,3,1,1,1,1
12,3,0,3,2,1
13,4,1,0,0,0
14,4,0,3,0,0
15,4,0,5,2,0
16,4,0,1,1,0
17,5,0,3,1,0
18,5,1,1,1,0
19,5,1,2,0,0
20,5,1,0,0,0
21,6,0,0,0,1
22,6,1,1,1,1
23,6,1,2,0,1
24,6,1,5,2,1
25,7,0,1,1,1
26,7,0,3,1,1
27,7,0,0,0,1
28,7,1,2,0,1
29,8,0,1,1,0
30,8,1,2,0,0
31,8,0,3,2,0
32,8,1,5,0,0
33,9,0,0,0,1
34,9,0,2,0,1
35,9,0,1,1,1
36,9,1,5,2,1
37,10,0,1,1,0
38,10,1,3,2,0
39,10,1,0,0,0
40,10,1,5,2,0
41,11,0,0,0,1
42,11,1,2,0,1
43,11,0,3,1,1
44,11,0,5,0,1
45,12,1,0,0,0
46,12,1,2,0,0
47,12,0,3,1,0
48,12,0,5,2,0
49,13,1,1,1,1
50,13,1,5,1,1
51,13,0,3,2,1
52,13,0,2,0,1
53,14,1,0,0,0
54,14,1,1,1,0
55,14,0,3,1,0
56,14,0,5,2,0
57,15,1,2,0,1
58,15,0,3,2,1
59,15,1,0,0,1
60,15,0,1,1,1
61,16,1,5,0,0
62,16,0,3,1,0
63,16,1,0,0,0
64,16,0,2,0,0
65,17,1,0,0,1
66,17,0,1,1,1
67,17,1,3,2,1
68,17,0,3,1,1
69,18,1,1,1,0
70,18,0,3,1,0
71,18,1,5,0,0
72,18,1,2,0,0
73,19,0,0,0,1
74,19,0,2,0,1
75,19,1,1,1,1
76,19,0,3,1,1
77,20,0,2,0,0
78,20,0,0,0,0
79,20,0,5,2,0
80,20,0,3,2,0
81,21,1,0,0,1
82,21,1,5,1,1
83,21,0,1,1,1
84,21,0,3,2,1
85,22,0,2,0,0
86,22,0,3,2,0
87,22,0,0,0,0
88,22,1,5,2,0
89,23,0,0,0,0
90,23,0,2,0,0
91,23,1,5,0,0
92,23,0,1,1,0
93,24,1,5,0,1
94,24,1,3,2,1
95,24,0,0,0,1
96,24,1,2,0,1
97,25,1,3,2,0
98,25,1,0,0,0
99,25,0,1,1,0
100,25,1,3,2,0
101,26,1,1,1,1
102,26,0,3,2,1
103,26,1,0,0,1
104,26,1,2,0,1
105,27,1,5,2,1
106,27,1,3,2,1
107,27,0,0,0,1
108,27,1,1,1,1
109,28,1,0,0,0
110,28,1,1,1,0
111,28,1,3,2,0
112,28,0,2,0,0
113,29,1,0,0,1
114,29,0,5,0,1
115,29,0,2,0,1
116,29,0,3,1,1
117,30,1,5,0,0
118,30,0,2,0,0
119,30,0,3,1,0
120,30,1,1,1,0
121,31,0,0,0,1
122,31,0,3,2,1
123,31,0,2,0,1
124,31,0,1,1,1
125,32,0,0,0,0
126,32,0,5,2,0
127,32,1,2,0,0
128,32,1,1,1,0
129,33,1,5,2,1
130,33,0,3,1,1
131,33,0,2,0,1
132,33,0,3,2,1
133,34,0,3,1,0
134,34,0,5,2,0
135,34,0,0,0,0
136,34,0,1,1,0
137,35,0,0,0,0
138,35,1,5,0,0
139,35,1,2,0,0
140,35,0,3,1,0
141,36,0,3,1,1
142,36,0,5,2,1
143,36,0,0,0,1
144,36,0,2,0,1
145,37,1,0,0,0
146,37,1,2,0,0
147,37,0,5,2,0
148,37,0,3,1,0
149,38,0,3,1,1
150,38,0,5,0,1
151,38,0,0,0,1
152,38,0,2,0,1
153,39,1,0,0,1
154,39,0,3,1,1
155,39,0,5,2,1
156,39,1,2,0,1
157,40,1,0,0,0
158,40,0,3,2,0
159,40,1,2,0,0
160,40,0,1,1,0
161,41,1,0,0,1
162,41,0,3,2,1
163,41,0,1,1,1
164,41,1,2,0,1
165,42,0,5,0,0
166,42,0,3,2,0
167,42,1,0,0,0
168,42,0,1,1,0
169,43,0,0,0,1
170,43,0,1,1,1
171,43,1,2,0,1
172,43,0,3,1,1
173,44,0,3,2,0
174,44,0,2,0,0
175,44,1,0,0,0
176,44,0,1,1,0
177,45,1,5,1,1
178,45,0,3,2,1
179,45,1,2,0,1
180,45,1,0,0,1
181,46,1,0,0,0
182,46,1,1,1,0
183,46,1,5,0,0
184,46,0,2,0,0
185,47,1,5,2,1
186,47,0,1,1,1
187,47,0,3,1,1
188,47,1,2,0,1
189,48,0,5,2,0
190,48,0,1,1,0
191,48,0,3,2,0
192,48,1,0,0,0
193,49,1,0,0,1
194,49,0,3,2,1
195,49,0,2,0,1
196,49,1,1,1,1
197,50,1,5,0,0
198,50,0,3,2,0
199,50,1,0,0,0
200,50,0,1,1,0
201,51,0,2,0,1
202,51,0,5,2,1
203,51,0,1,1,1
204,51,0,3,1,1
205,52,1,5,0,0
206,52,1,1,1,0
207,52,0,3,2,0
208,52,0,2,0,0
209,53,1,0,0,1
210,53,1,3,2,1
211,53,0,1,1,1
212,53,0,2,0,1
213,54,1,0,0,0
214,54,0,3,1,0
215,54,1,5,0,0
216,54,1,2,0,0
217,55,1,0,0,0
218,55,0,2,0,0
219,55,0,3,1,0
220,55,0,5,2,0
221,56,0,5,2,1
222,56,0,0,0,1
223,56,0,1,1,1
224,56,0,2,0,1
225,57,1,3,2,0
226,57,1,1,1,0
227,57,1,0,0,0
228,57,0,2,0,0
229,58,0,1,1,1
230,58,0,5,0,1
231,58,0,3,1,1
232,58,0,2,0,1
